word,weight,pronunciation,verb,verbt,verbi,noun,adj,adv,prep,conj,sentence,looklike,homoionym,antonym
display,18108,/dɪˈspleɪ/,,陈列，展览；显示，表现,,陈列，展览；显示，表现,,,,,,discipline,show；exhibit；present；demonstrate；flaunt；exhibit,conceal
avalanche,2325,/ˈævəlɑːnʃ/,雪崩,,,雪崩,,,,,,,snow slip；slide；quantity,
requisition,74,/ˏrekwɪˈzɪʃn/,,正式要求；征用,,正式要求；征用,,,,,,repetition,request；demand,relinquish
rescue,8060,/ˈreskjuː/,,营救，救援,,营救，救援,,,,,,residue,save；free；liberate；release；salvage,abandon
whisper,4529,/ˈwɪspə(r)/,低语,,,低语,,,,,,,rumor；word；gossip；murmur；mutter；breathe,shout；yell
neglect,3091,/nɪˈglekt/,,忽视；疏忽；遗漏,,忽视；疏忽；遗漏,,,,,,,ignore；overlook；inattention；abandon；desert；disregard；slight,care；prior
hug,3875,/hʌg/,（热烈的、地）拥抱,,,（热烈的、地）拥抱,,,,,,hog,embrace；enfold；cuddle；clinch,
beneath,981,/bɪˈniːθ/,,,,,,在下方,在下方,,,breath,under；underneath；below；lower；less,over；above；upon
shrug,2184,/ʃrʌg/,耸肩,,,耸肩,,,,,,shrub；rug,,stretch；spread
allure,1196,/əˈluə(r)/,诱惑，吸引,,,诱惑，吸引,,,,,,lure,attract；appeal；draw,reject；repulse；repel；resist
level,5735,/ˈlevl/,（使）变平坦,,,水平面，水平线；高度，水平；等级,平的、水平的；同高度的，同等程度的；平稳的；冷静的,,,,,lever；lava；larval,degree；stage；plane；intensity；quantity；flatten；equal；straight；even,uneven；bumpy
overweight,3438,/ˏəuvəˈweɪt/,,使负担过重,,超重，过重,超重的，过重的,,,,,,heavy；cumbersome；overload；obesity；stocky；bulky；ponderous；clumsy,underweight；thin；slim；slender；skinny
slight,365,/slaɪt/,,轻视，藐视，轻蔑,,轻视，藐视，轻蔑,轻微的，不足道的；纤细的，瘦弱的,,,,,sleight；slide；sight,small；minor；delicate；thin；offend；scorn；snub；insult,stocky；heavy；cubersome；bulky；ponderous；clumsy
buckle,1327,/ˈbʌkl/,扣紧；（使）变形；弯曲,,,皮带扣环,,,,,,bubble；bottle；bottom,fasten；clip；clasp；secure；hasp,unbuckle
curry,123,/ˈkʌrɪ/,,把（肉、蔬菜等）做成咖喱食品；梳刷（马毛等）,,咖喱，咖喱饭菜,,,,,,query；curly；carry,,
purpose,104,/ˈpɜːpəs/,打算，企图，决心,,,目的，意图；用途，效果,,,,,,propose；purchase,intent；aim；object；goal,purposeless；aimless；indifference
bet,6312,/bet/,赌，打赌,,,打赌，赌注,,,,,,bat；bit,risk；gamble；stake；believe；expect；anticipate,lose
equal,789,/ˈiːkwəl/,,比得上,,,相等的,,,,,sequel,match；rival；parallel；peer；even；identical；fair,unequal；different；vary；inequality；unfair
resort,2397,/rɪˈzɔːt/,,,求助；诉诸,求助；诉诸；胜地,,,,,,retort；result,attraction,
rig,2651,/rɪg/,,操纵，垄断,,船桅（或船帆等）的装置；成套器械,,,,,,rag；rake,boring tower；manipulate；fix,
input,516,/ˈɪnput/,,把……输入计算机,,投入，输入；输入的数据,,,,,,,enter,output；export；outlet；outcome
forfeit,117,/ˈfɔːfɪt/,（因犯规等而）丧失，失去,,,罚款；代价,,,,,,,lose；deprive；penalize；punish,reward；award；incentive
nevertheless,13968,/ˏnevəðəˈles/,,,,,,仍然；然而,,然而，不过,,nonetheless,yet；but；however；despite；on the other hand,
landscape,757,/ˈlændskeɪp/,,对……作景观美化，美化（自然环境等）,,风景,,,,,,,scenery；scene,
clip,3860,/klɪp/,（夹子、回形针等）夹住，扣住；剪，修剪,,,（弹簧）夹子，回形针，别针；弹夹；修剪；剪报，电影（或电视）片断,,,,,,,attach；cut；fix；fasten,
yield,5869,/jiːld/,出产；放弃,,,产量,,,,,,yell,bear；generate；harvest；crop；produce；give way,loss；waste；depletion；attrition
secure,6661,/sɪˈkjuə(r)/,得到某物，获得；防护，保卫,,,,安全的；可靠的，放心的,,,,,secular,safe；guarantee；certain；confident；dependable；reliable,insecure；vulnerable；unreliable
code,2853,/kəud/,,把……编码,,密码；代码,,,,,,cold,program；cipher；enigma；encrypt,decode；crack；decipher；break
point,68001,/pɔɪnt/,指，指向；表明；瞄准,,,尖，尖端；点，小数点；条款，细目；分数，得分；要点，论点，观点,,,,,,,direct；aim；indicate；opinion；purpose；main idea,
review,18393,/rɪˈvjuː/,,回顾；自习；评论,,回顾；评论,,,,,,reveal；revile,comment；re-examine；check；report；inspect,
margin,9600,/ˈmɑːdʒɪn/,加旁注于；加边于,,,差额，差距；页边空白；边缘；余地；幅度,,,,,,marlin,boundary；border；brim；edge,center；middle；midst
tram,740,/træm/,乘电车,,,有轨电车，电车轨道,,,,,,trump,trolley,
squash,825,/skwɔʃ/,压碎，挤压；挤进，塞入；镇住，镇压；制止,,,软式墙网球，壁球，南瓜,,,,,,squish；squad；squat,pumpkin；squeeze；squish；crush；congestion；crowd；jum；press,reshape
surge,3346,/sɜːdʒ/,（人群等）蜂拥而出；波动，涌动,,,（感情等的）洋溢；猛增,,,,,,search；siege,flow；rush；pour；gush；heave；spill；wave,calm
physical,152,/ˈfɪzɪkl/,,,,体检,身体的，肉体的；物理的，物理学的；物质的，有形的；,,,,,,bodily；corporeal；carnal；objective,mental；ethereal；virtual
score,22906,/skɔː(r)/,得分，记分；给（试卷等）打分，给……评分；刻痕于，画线于；获胜，成功,,,得分，分数；乐谱；抓痕，划痕；二十,,,,,,scorn；sore,grade；result；tally；achieve；notch；count,
stamp,3264,/stæmp/,跺（脚），重踏；在……上盖（字样或图案等）；重步走,,,邮票，印花；印，图章；标志，印记；跺脚，顿足,,,,,,stump；step,imprint；beat；trample；brand,
whistle,3063,/ˈwɪsl/,吹口哨,,,口哨；呼啸而过,,,,,,wiggle；wrestle；weasel,shrill；warble,
detective,10815,/dɪˈtektɪv/,,,,侦探,侦探的,,,,,deductive；defective,investigator,
chink,64,/tʃɪnk/,（使）发出叮当声,,,裂缝，裂口；一缕光；叮当声,,,,,,chick；chunk,crack；crevice；slit；fissure,
superior,2547,/suːˈpɪərɪə(r);sjuː-/,,,,上级，长官,上级的，（在职位、地位等方面）较高的；优越的，优于……的，较……多的；优良的，卓越的；有优越感的，高傲的,,,,,supreme,higher；better,inferior
opponent,17189,/əˈpəunənt/,,,,敌手，对手；反对者,对立的，对抗的,,,,,apparent；exponent；component,adversary；enemy；foe；rival；challenger,ally；friend
sponsor,5937,/ˈspɔnsə(r)/,,发起，主办；赞助，资助；惠顾,,发起者，赞助人，主办者；主顾,,,,,,sparse,back；support；fund；patron,
routine,1365,/ruːˈtiːn/,,,,例行公事；惯例,例行的；常规的,,,,,root；rotten,usual；standard；everyday；regular,unusual；irregular
nurture,470,/ˈnɜːtʃə(r)/,,培养；滋养,,营养品,,,,,,nature；neutral,raise；rear,
genetic,13003,/dʒɪˈnetɪk/,,,,[-s]遗传学,遗传的,,,,,generic,inherent；inherited,acquired；learned
leak,5134,/liːk/,（使）漏，（使）渗出,,,漏洞；泄露,,,,,,lick,disclose；uncover；drip；outflow；divulge；betray,
spring,7245,/sprɪŋ/,跳跃；涌现，突然出现；突然提出（或说出）,,,春天，春季；弹簧，发条；弹性，弹力；（源）泉；跳跃,,,,,,sprint,coil；pounce；skip；leap；bound；elasticity,rigidity
couple,4738,/ˈkʌpl/,连接，联合，结合；结婚,,,（一）对，（一）双；夫妇；,,,,,,cuddle,pair；combine,separate
submarine,3156,/ˏsʌbməˈriːn;ˈsʌbməriːn/,,,,潜水艇,水底的，海底的,,,,,summary,undersea；underwater；marine,
commercial,5214,/kəˈmɜːʃl/,,,,商业广告,商业的，商品化的，贸易的,,,,,commerce,advertisement；profitable,
fold,4271,/fəuld/,折叠,,,皱；折,,,,,,fond；fault,double；crinkle；crease；pleat,unfold；straighten；stretch
muddle,210,/ˈmʌdl/,,将……弄成一团糟；使困惑，使糊涂；混淆,,一团糟，凌乱，混乱；（头脑）糊涂，困惑,,,,,,model；medal,mess；confuse；mix；chaos；bewilderment；jumble,clarify；order；disentangle
exchange,6854,/ɪksˈtʃeɪndʒ/,交换，调换；交易；兑换；交流；谈话，争论,,,交换，调换；交易（所）；兑换（率）；交流,,,,,,excuse,swap；replace；switch,
cosset,54,/ˈkɔsɪt/,,宠爱，溺爱,,宠儿,,,,,,cassette；cost,spoil；protect；coddle,neglect；indifferent
silt,178,/sɪlt/,（用淤泥）阻塞,,,淤泥,,,,,,suit；silk,deposit；mud；sediment；sludge；residue,
tune,7419,/tjuːn/,,调音；调节，调整,,调子；和谐,,,,,,dune,melody；song；jingle；adjust；modify,
strike,14537,/straɪk/,打；折磨,,,罢工,,,,,,strict；stride,hit；beat；attack；stop work；raid；assault；foray,return；resume
dispute,2415,/dɪˈspjuːt/,对……表示异议；争论，争吵,,,争论，争端，争吵,,,,,,depute；despite；debut,argue；debate；wrangle；chanlenge；,accept；agree
standard,22313,/ˈstændəd/,,,,标准,标准的,,,,,startup,criterion；norm；benchmark；ordinary；typical,nonstandard；unusual；abnormal；special
hose,252,/həuz/,,用软管淋,,软管,,,,,,whose,tube；pipe；line；rinse,
cruise,4314,/kruːz/,航游，巡航；（出租车、船等）缓慢巡行,,,旅游，游戈,,,,,,crew；bruise,travel；journey；sail；voyage；trip,
general,14291,/ˈdʒenrəl/,,,,将军,一般的，普通的；全体的，普遍的；大体的，概括的；首席的,,,,,journal,common,special；particular
bother,350,/ˈbɔðə(r)/,打扰，烦扰；烦恼，操心,,,麻烦，烦扰,,,,,,brother,annoy；trouble；disturb；interupt；nuisance；interfere,
humble,813,/ˈhʌmbl/,,使谦恭；使卑下；贬低,,,谦逊的，谦虚的；地位（或身份）低下的，卑贱的；简陋的，低劣的,,,,,hamburg,modest,proud；insolent；arrogant；conceit
counter,150,/ˈkauntə(r)/,,,,柜台,,相反,,,,quoter；quota；quarter,contradict；refute；oppose,
range,21430,/reɪndʒ/,（在一定范围内）变化，变动；排列,,,范围，领域；系列；（山）脉；射程,,,,,,rage；ranch,reach；fluctuate；oscillate；assortment,
ultimate,13438,/ˈʌltɪmət/,,,,最好（或先进、伟大等）的事物，极品，精华,最后的，最终的；根本的,,,,,automate,final；last；eventual；decisive；definitive,first；begin
flap,2451,/flæp/,拍打；（翅膀）拍动,,,薄片；封盖；振动；激动,,,,,,flop,tab；flutter；wave；worry,calm
mould,267,/məuld/,用模子制作，浇铸；使形成，把……塑造成,,,霉，霉菌；模型，铸模；（人的）性格，气质,,,,,,mold；model；mood,create；cast；form；frame；mildew,
potential,18848,/pəˈtenʃl/,,,,潜力，潜能,潜在的；可能的,,,,,prudential,possible；probable,impossible；unlikely
brief,503,/briːf/,,向……介绍基本情况，为……提供资讯,,概要，摘要,短时间的，短暂的；简短的，简洁的,,,,,belief；brave,inform；instruct；short；concise；guideline,lenthy；wordy；nag
substitute,1075,/ˈsʌbstɪtjuːt/,代替，替换,,,代替者，代替物，代用品,,,,,,institute,alternative；switch；replace；additional；,irreplaceable
pirate,165,/ˈpaɪərət/,,盗用，盗版,,侵犯版权者；海盗,,,,,,pilot；parrot,burglar；bootleg；illicit；illegal,legal；authorised；oringinal；licensed；genuine
profit,2491,/ˈprɔfɪt/,有利于；获益,,,利润；益处,,,,,,prophet,interest；income；earnings,loss
quote,5985,/kwəut/,引用，引述，引证；提出，提供；报价,,,引文，引语；估价，报价；引号,,,,,,quot；quota,cite；recite；mention；reference,
recruit,3193,/rɪˈkruːt/,招募（新兵），招收（新成员）；复原，恢复；补充,,,新兵，新成员，新会员,,,,,,,employ；hire；enlist；novice；beginner；trainee,veteran
gloss,543,/glɔs/,使具有光泽；掩饰；曲解；作注释；发光，发亮,,,光泽，色泽；虚假的外表，假象；注解，解释,,,,,,glass,luster；polish；annotate,
exile,916,/ˈeksaɪl/,,放逐，流放，使流亡,,流放，流亡；被流放者，背井离乡者，流犯,,,,,,excel；expel,banish；deport；expel；expatriate；outcast,
representative,7841,/ˏreprɪˈzentətɪv/,,,,代表，代理人,典型的，有代表性的,,,,,,delegate；envoy；agent；spokesperson,
reverse,2772,/rɪˈvɜːs/,颠倒，（使）倒退,,,相反，颠倒；背面，后面,相反的；倒转的，颠倒的,,,,,reverence；inverse,obverse；invert；inverse,
finance,9140,/ˈfaɪnæns/,,为……提供资金,,财政，金融；财务情况,,,,,,fiance,money；back；fund；invest；economy,
comb,1959,/kəum/,梳理；搜寻，彻底搜查,,,梳子；蜂巢；（鸡等的）肉冠，冠状物,,,,,,tomb；calm,brush,
privilege,260,/ˈprɪvəlɪdʒ/,,给予特权，特别优待,,特权，优惠，特许,,,,,,,advantage；favor；honour,
trap,7287,/træp/,,诱捕，诱骗，使中圈套；使陷入困境，使受限制,,陷阱，圈套，诡计,,,,,,tap；strap；tramp,catch；ambush；deceive；trick；snare,release；free
censor,653,/ˈsensə(r)/,,审查，检查（书报）,,检查员,,,,,,sensor；census,edit；cut,
hazard,239,/ˈhæzəd/,尝试着做（或提出）；冒……风险,,,危险，冒险,,,,,,,danger；threat；risk；peril,safe；protect
rear,2598,/rɪə(r)/,饲养，抚养；种植,,,后部，尾部,后方的，后部的；背后的,,,,,rare,back；last；tail；raise,front；head
alight,104,/əˈlaɪt/,,,降落，飞落；从（公共汽车等）下来,,点着的,,,,,alright,get off；descend；dismout；land；burning,
credit,7399,/ˈkredɪt/,,记入贷方；把……归于,,信用贷款，赊欠；信任，相信；贷方；荣誉，名望；光荣，功劳；学分,,,,,,critic；cricket,trust,debit
explosive,4640,/ɪkˈspləusɪv/,,,,爆炸物，炸药,爆炸的，爆发的；使人冲动的,,,,,explicit,unstable；volatile；dangerous,stable；inactive；placid
lever,216,/ˈliːvə(r)/,,（用杠杆）撬动,,杠杆；施压手段,,,,,,liver；level,pry；crowbar,
truant,39,/ˈtruːənt/,,,逃避责任；旷课,逃学者；逃避者,,,,,,trout；tout,absent；shirk；skive；malinger,attend；present
bolster,199,/ˈbəulstə(r)/,,支持，支撑；改善,,垫子,,,,,,bastard；booster,support；boost；strenthen；reinforce,undermine
concern,9429,/kənˈsɜːn/,,涉及；使关心；让（人）担忧,,关心；关注,,,,,,,think；worry；trouble；bother,unconcern；indifference
hide,1657,/haɪd/,（躲）藏,,,皮革，兽皮,,,,,,height；head,conceal；cover；pelt,disclose；flaunt；unveil
former,65,/ˈfɔːmə(r)/,,,,前者,以前的,,,,,formal,previous；past；last；prior；predecessor,successor
sore,945,/sɔː(r)/,,,,疮,痛的；恼火的；剧烈的,,,,,soar,pain；wound；hurt；lesion；angry,heal；comfort
alluvial,195,/əˈluːvɪəl/,,,,冲积土（或层、矿床），淤积土,[地]冲积的，淤积的,,,,,aluminium,silt；mud；sediment；deposit,
target,12161,/ˈtɑːgɪt/,,对准，面向,,目标；对象，靶子,,,,,,tart,aim；goal；focus；object,
independent,3686,/ˏɪndɪˈpendənt/,,,,中立派，无党派议员,独立的，自主的，不受约束的,,,,,,autonomous；alone；self-sufficient,dependent
shade,1670,/ʃeɪd/,,遮蔽，遮光；把……涂暗,,阴凉处；（灯）罩；暗部；色度；细微差别,,,,,,shed；shield,cover；shield；dark；hue,light；expose；bright
stable,39,/ˈsteɪbl/,,,,马厩,稳定的，稳固的，安定的；沉稳的，持重的,,,,,staple,steady；stall,unstable；volatile
annual,761,/ˈænjuəl/,,,,年刊，年鉴；一年生植物,每年的，年度的,,,,,,yearly,
luxury,4085,/ˈlʌkʃərɪ/,,,,豪华（品）；奢侈（品）,奢华的,,,,,lottery,extravagant；wasteful；sumptuous；expensive,simple；essential；plain
purchase,10869,/ˈpɜːtʃəs/,,买，购买,,购买的物品,,,,,,purpose,buy；acquire；obtain,sell
constant,1317,/ˈkɔnstənt/,,,,常数，恒量,经常的，不断的；坚定的，永恒的，忠实的；持续的，不变的,,,,,content,continuous；frequent；steady；number,irregular；occasional；intermittent
particular,14385,/pəˈtɪkjulə(r)/,,,,详情，细目，细节,特殊的，特别的；特定的，个别的；详细的,,,,,peculiar；particle,specific；precise；exact；certain；especial,general；vague；average；regular
pitch,9642,/pɪtʃ/,投掷；颠簸；为……定音高,,,沥青；场地；程度；最高点；音高,,,,,,pinch；peach；patch；perch,promote；sell；court；area；field；asphalt；tar,
durable,2521,/ˈdjuərəbl/,,,,耐用品,耐久的；耐用的,,,,,doable,stong；tough；robust；sturdy；persistent,fragile；weak；vulnerable；delicate；flimsy
benefit,16680,/ˈbenɪfɪt/,使受益；有益于，得益于,,,益处，好处；恩惠；救济金，保险金，津贴,,,,,,,advantage；interest；profit；right,harm；detriment；loss；damage
decay,995,/dɪˈkeɪ/,腐烂，腐朽；衰败，衰退,,,腐烂，腐朽；衰败（或衰退）状态,,,,,,decade,decrease；decline；decompose；fester；depress；crumble；rot；deteriorate,growth；flourish；increase
ornament,250,/ˈɔːnəmənt/,,装饰，修饰，美化,,装饰；装饰物,,,,,,adornment；augment,decorate；adornment,
cooperative,1267,/kəuˈɔpərətɪv/,,,,合作社,合作的，协作的,,,,,corporate,collaborate；oblige；,uncooperative
honour,89,/ˈɔnə(r)/,,向……示敬意；信守，执行（承诺）,,光荣；尊敬,,,,,,honor,esteem；integrity；dignity；reputation；grace,dishonour；shame；disgrace；scorn；disparage；disrepute；humiliate
except,446,/ɪkˈsept/,,将……除外,,,,,除……外,,,expect；accept,exclude；apart；besides；addition,include
license,3947,/ˈlaɪsns/,,批准，准许,,许可（证），执照,,,,,,lesson,certify；permit；authorize；accredit；cettificate；registered,unlicensed
major,1005,/ˈmeɪdʒə(r)/,,,主修，专攻,专业（学生）,主要的,,,,,mayor,main；principal；primary；most,minor
objective,5473,/əbˈdʒektɪv/,,,,目标，目的,客观的,,,,,,impartial；neutral；unbiased；factual；just,subjective
concentrate,309,/ˈkɔnsntreɪt/,全神贯注，全力以赴；集中，聚焦；浓缩,,,浓缩物，浓缩液,,,,,,,focus；converge；condense；compress,dilute；disperse；distract
elastic,436,/ɪˈlæstɪk/,,,,松紧带,有弹性的；灵活的,,,,,elliptical；electric,stretchy；flexible；resilient；supple,inflexible；rigid
feature,24159,/ˈfiːtʃə(r)/,以……为特色；由……主演；占重要地位,,,特征，特色；面貌，相貌；特定，专题节目；故事片,,,,,,future；figure,trait；mark；characteristic；face,
crisp,254,/krɪsp/,,,,油炸土豆片,脆的；利落的,,,,,creep,crunchy；brittle；crusty,soggy；chewy；hesitated
crack,214,/kræk/,（使）破裂；（使）发出爆裂声；重击；崩溃，瓦解,,,裂缝，缝隙；爆裂声,,,,,,,break；fracture；sovle；blow；crash；cleft；crevice；excellent,
flourish,1455,/ˈflʌrɪʃ/,繁荣；茂盛；兴旺；健康幸福,,,（为引起注意的）夸张动作；修饰,,,,,,flush,successful；succeed；thrive；grow；decoration；ornament,decline；depression；recession；stagnation
reserve,7270,/rɪˈzɜːv/,,预订，预约；保留；储备,,储备（量）；自然保护区,,,,,,resolve；preserve,keep；retain；protect；preserve,consumption
fuel,5015,/ˈfjuːəl/,给……加燃料,,,燃料,,,,,,few；phew；feel；fill；fail,gas；energy；increase,quell
acclaim,449,/əˈkleɪm/,,向……欢呼，为……喝彩,,称赞；欢迎,,,,,,claim,appaud；cheer；commend；hail；praise；compliment,catcall；hoot；boo；criticize
carry,132,/ˈkærɪ/,运送，搬运；传送，传播,,,运载；射程,,,,,,cherry,take；bear；hold,drop
address,21290,/əˈdres/,,致函，写姓名地址；向……讲话，演说；处理，对付,,地址；致词,,,,,,arrest,speak；deal；location,
slim,651,/slɪm/,,,变苗条,,苗条的；薄的,,,,,slam,thin；slender；slight,fat；obesity；overweight；chubby
warrant,3927,/ˈwɔrənt/,保证；证明……正当,,,授权；许可证,,,,,,walnut,authorization；permit；licence,
rank,194,/ræŋk/,排列；分等,,,等级；军衔,,,,,,rant,place；rate；categorize；classify；level；position,unranked
